"sk_evento","fk_tempo","fk_prospect","fk_vendedor","fk_cardapio","fk_tema","data_interesse","tipo_evento","duracao_horas","status","qtd_adultos","qtd_criancas","faturamento","custo","dias_para_evento","total_pessoas","lucro_total"
1,NULL,120,3,2,NULL,"2015-01-28","Aniversário infantil","04:00:00","Tornou-se cliente",62,12,"5800.00","4700.00",115,74,"1100.00"
2,NULL,842,8,3,NULL,"2015-01-29","Casamento","04:00:00","Em negociação",80,10,"7200.00","5100.00",115,90,"2100.00"
3,NULL,552,7,NULL,NULL,"2015-01-30","Chá revelação","04:00:00","Desistência",40,18,NULL,NULL,114,58,NULL
4,NULL,1901,4,1,NULL,"2015-01-31","Formatura","04:00:00","Tornou-se cliente",71,10,"6800.00","5400.00",113,81,"1400.00"
5,NULL,432,2,4,6,"2015-02-01","Aniversário de 15 anos","04:00:00","Tornou-se cliente",55,12,"6400.00","5000.00",112,67,"1400.00"
6,NULL,2010,3,2,NULL,"2015-02-02","Casamento","04:00:00","Em negociação",88,9,"7500.00","5600.00",111,97,"1900.00"
7,NULL,310,1,NULL,NULL,"2015-02-03","Aniversário infantil","04:00:00","Desistência",35,22,NULL,NULL,111,57,NULL
8,NULL,1777,5,1,4,"2015-02-04","Chá revelação","04:00:00","Tornou-se cliente",48,20,"5200.00","4100.00",110,68,"1100.00"
9,NULL,982,9,3,NULL,"2015-02-05","Formatura","04:00:00","Em negociação",68,15,"6900.00","5200.00",110,83,"1700.00"
10,NULL,1022,6,NULL,NULL,"2015-02-06","Aniversário de adulto","04:00:00","Desistência",47,13,NULL,NULL,109,60,NULL
11,NULL,418,9,2,NULL,"2015-02-07","Aniversário infantil","04:00:00","Tornou-se cliente",60,25,"6000.00","4600.00",109,85,"1400.00"
12,NULL,2001,4,3,NULL,"2015-02-08","Casamento","04:00:00","Em negociação",82,20,"8300.00","6100.00",108,102,"2200.00"
13,NULL,1533,2,NULL,NULL,"2015-02-09","Chá revelação","04:00:00","Desistência",34,24,NULL,NULL,108,58,NULL
